customer_id,first_name,last_name,email,city,signup_date
CUST_000001,Customer1,Client1,client1@example.com,San Francisco,2024-01-26
CUST_000002,Customer2,Client2,client2@example.com,Chicago,2024-09-07
CUST_000003,Customer3,Client3,client3@example.com,Seattle,2024-05-22
CUST_000004,Customer4,Client4,client4@example.com,San Francisco,2025-11-23
CUST_000005,Customer5,Client5,client5@example.com,Los Angeles,2024-03-30
CUST_000006,Customer6,Client6,client6@example.com,Atlanta,2025-03-08
CUST_000007,Customer7,Client7,client7@example.com,New York,2024-01-31
CUST_000008,Customer8,Client8,client8@example.com,San Francisco,2024-08-11
CUST_000009,Customer9,Client9,client9@example.com,Seattle,2025-06-01
CUST_000010,Customer10,Client10,client10@example.com,Atlanta,2024-01-28
CUST_000011,Customer11,Client11,client11@example.com,Los Angeles,2024-07-22
CUST_000012,Customer12,Client12,client12@example.com,Los Angeles,2025-03-05
CUST_000013,Customer13,Client13,client13@example.com,Seattle,2025-04-04
CUST_000014,Customer14,Client14,client14@example.com,Atlanta,2024-10-11
CUST_000015,Customer15,Client15,client15@example.com,New York,2024-06-12
CUST_000016,Customer16,Client16,client16@example.com,Denver,2024-12-14
CUST_000017,Customer17,Client17,client17@example.com,Chicago,2024-06-08
CUST_000018,Customer18,Client18,client18@example.com,Seattle,2024-12-10
CUST_000019,Customer19,Client19,client19@example.com,San Francisco,2024-04-04
CUST_000020,Customer20,Client20,client20@example.com,Denver,2024-04-09
CUST_000021,Customer21,Client21,client21@example.com,Boston,2024-12-18
CUST_000022,Customer22,Client22,client22@example.com,Atlanta,2024-09-27
CUST_000023,Customer23,Client23,client23@example.com,New York,2025-04-15
CUST_000024,Customer24,Client24,client24@example.com,Los Angeles,2024-05-07
CUST_000025,Customer25,Client25,client25@example.com,Denver,2024-03-21
CUST_000026,Customer26,Client26,client26@example.com,Los Angeles,2024-10-27
CUST_000027,Customer27,Client27,client27@example.com,Atlanta,2025-01-05
CUST_000028,Customer28,Client28,client28@example.com,Atlanta,2024-07-15
CUST_000029,Customer29,Client29,client29@example.com,San Francisco,2024-02-16
CUST_000030,Customer30,Client30,client30@example.com,Seattle,2024-10-23
CUST_000031,Customer31,Client31,client31@example.com,San Francisco,2024-08-26
CUST_000032,Customer32,Client32,client32@example.com,San Francisco,2025-01-24
CUST_000033,Customer33,Client33,client33@example.com,Chicago,2025-04-09
CUST_000034,Customer34,Client34,client34@example.com,Boston,2024-06-15
CUST_000035,Customer35,Client35,client35@example.com,Boston,2024-12-29
CUST_000036,Customer36,Client36,client36@example.com,Seattle,2025-11-17
CUST_000037,Customer37,Client37,client37@example.com,Chicago,2025-11-30
CUST_000038,Customer38,Client38,client38@example.com,San Francisco,2025-09-15
CUST_000039,Customer39,Client39,client39@example.com,Austin,2025-06-30
CUST_000040,Customer40,Client40,client40@example.com,Seattle,2024-06-16
CUST_000041,Customer41,Client41,client41@example.com,Miami,2025-01-23
CUST_000042,Customer42,Client42,client42@example.com,Chicago,2025-10-17
CUST_000043,Customer43,Client43,client43@example.com,Los Angeles,2024-08-12
CUST_000044,Customer44,Client44,client44@example.com,Boston,2024-02-27
CUST_000045,Customer45,Client45,client45@example.com,Seattle,2024-02-02
CUST_000046,Customer46,Client46,client46@example.com,Boston,2025-02-14
CUST_000047,Customer47,Client47,client47@example.com,Chicago,2024-03-08
CUST_000048,Customer48,Client48,client48@example.com,Seattle,2025-08-03
CUST_000049,Customer49,Client49,client49@example.com,Boston,2024-08-05
CUST_000050,Customer50,Client50,client50@example.com,Miami,2025-02-09
CUST_000051,Customer51,Client51,client51@example.com,Miami,2024-05-26
CUST_000052,Customer52,Client52,client52@example.com,Chicago,2024-05-22
CUST_000053,Customer53,Client53,client53@example.com,Seattle,2025-07-28
CUST_000054,Customer54,Client54,client54@example.com,Los Angeles,2024-09-26
CUST_000055,Customer55,Client55,client55@example.com,Atlanta,2025-03-14
CUST_000056,Customer56,Client56,client56@example.com,Atlanta,2025-02-12
CUST_000057,Customer57,Client57,client57@example.com,Boston,2024-08-12
CUST_000058,Customer58,Client58,client58@example.com,Austin,2025-06-05
CUST_000059,Customer59,Client59,client59@example.com,Miami,2024-04-03
CUST_000060,Customer60,Client60,client60@example.com,New York,2024-04-22
CUST_000061,Customer61,Client61,client61@example.com,Austin,2025-10-04
CUST_000062,Customer62,Client62,client62@example.com,Austin,2025-11-27
CUST_000063,Customer63,Client63,client63@example.com,Denver,2025-09-02
CUST_000064,Customer64,Client64,client64@example.com,San Francisco,2025-01-29
CUST_000065,Customer65,Client65,client65@example.com,Denver,2025-09-02
CUST_000066,Customer66,Client66,client66@example.com,Miami,2025-06-25
CUST_000067,Customer67,Client67,client67@example.com,Chicago,2025-07-20
CUST_000068,Customer68,Client68,client68@example.com,New York,2025-11-27
CUST_000069,Customer69,Client69,client69@example.com,San Francisco,2025-11-29
CUST_000070,Customer70,Client70,client70@example.com,Los Angeles,2024-09-30
